,Type,gender,age,height,weight,EER[kcal],P target(15%)[g],F target(25%)[g],C target(60%)[g],number of dishes,E[kcal],P[g],F[g],C[g],Salt[g],Vegetables[g],Score(1:worst 2:bad 3:good 4:best)
1,breakfast,female,32,157,48,1655,62,46,248,2,334,5.9,0.8,75.7,0.2,29,2
2,breakfast,female,35,161,55,2073,78,58,311,2,214,4.6,4.5,41.3,0.1,0,1
3,breakfast,female,26,159,51,2042,77,57,306,4,352,27.3,18.9,18.1,2.8,116,2
4,breakfast,female,48,164,57,1772,66,49,266,2,295,5.6,0.9,65.1,0.7,189,2
5,dinner,female,48,164,57,1772,66,49,266,5,876,41.5,34.2,96.3,6.4,54,2
6,lunch,female,48,164,57,1772,66,49,266,1,424,14.5,25.0,34.4,2.3,33,2
7,breakfast,female,48,164,57,1772,66,49,266,1,347,11.1,8.6,54.0,2.0,6,2
8,,,,,,1772,66,49,266,3,238,6.1,10.9,31.1,1.6,299,3
9,dinner,female,48,164,57,1772,66,49,266,1,563,22.5,20.3,67.9,2.2,125,2
10,lunch,female,48,164,57,1772,66,49,266,1,266,7.5,5.0,47.7,0.7,0,1
11,breakfast,female,48,164,57,1651,62,46,248,5,692,23.0,24.5,97.8,2.4,0,2
12,breakfast,female,49,152,56,1651,62,46,248,3,879,30.9,68.1,31.3,4.4,192,2
13,dinner,female,49,152,56,1651,62,46,248,3,503,26.8,13.3,64.7,1.3,20,2
14,lunch,female,49,152,56,2852,107,79,428,1,679,24.1,55.3,20.3,2.1,13,1
15,dinner,male,41,170,62,1655,62,46,248,1,514,21.7,12.8,72.7,3.4,43,2
16,dinner,female,32,157,48,3105,116,86,466,4,882,42.3,43.1,76.2,4.1,73,2
17,dinner,male,50,178,91,2007,75,56,301,2,450,9.5,24.4,48.2,6.1,50,2
18,lunch,female,31,158,52,1921,72,53,288,1,380,6.3,0.8,84.0,1.8,0,1
19,lunch,female,37,161,48,2105,79,58,316,2,389,16.2,3.6,71.0,5.0,6,2
20,lunch,male,39,173,58,2852,107,79,428,1,879,27.6,31.9,113.7,4.2,52,2
21,lunch,male,41,170,62,2042,77,57,306,2,118,4.6,8.1,8.2,2.0,115,2
22,dinner,female,26,159,51,1655,62,46,248,2,889,35.3,49.8,68.2,5.4,29,2
23,lunch,female,32,157,48,2042,77,57,306,2,972,30.0,35.6,124.8,2.7,65,2
24,dinner,female,26,159,51,2042,77,57,306,1,879,27.6,31.9,113.7,4.2,52,2
25,lunch,female,26,159,51,2042,77,57,306,2,372,16.7,17.3,36.0,1.5,9,2
26,breakfast,female,26,159,51,2042,77,57,306,1,710,19.4,18.4,112.2,2.4,150,4
27,dinner,female,26,159,51,2042,77,57,306,2,239,4.1,13.3,25.9,0.6,0,1
28,lunch,female,26,159,51,2042,77,57,306,1,38,0.5,1.2,6.1,0.0,0,1
29,breakfast,female,26,159,51,2042,77,57,306,1,662,26.5,10.5,108.4,5.5,16,2
30,dinner,female,26,159,51,2042,77,57,306,1,878,23.3,31.4,119.5,2.2,135,3
31,lunch,female,26,159,51,2042,77,57,306,1,38,0.5,1.2,6.1,0.0,0,1
32,breakfast,female,26,159,51,3105,116,86,466,4,734,18.4,38.6,79.7,3.5,221,3
33,lunch,male,50,178,91,2042,77,57,306,5,820,20.9,48.9,71.7,1.5,166,3
34,lunch,female,26,159,51,3105,116,86,466,3,591,11.8,2.3,126.0,2.7,0,1
35,breakfast,male,50,178,91,2811,105,78,422,1,678,18.4,17.2,108.6,3.6,171,3
36,lunch,male,40,177,74,2105,79,58,316,2,239,5.9,10.7,29.1,1.0,0,1
37,breakfast,male,39,173,58,2105,79,58,316,1,467,21.2,9.7,69.3,5.1,31,2
38,lunch,male,39,173,58,2105,79,58,316,3,779,23.8,41.3,77.5,3.5,20,2
39,breakfast,male,39,173,58,1921,72,53,288,2,131,5.0,3.5,20.1,1.4,30,1
40,breakfast,female,37,161,48,1651,62,46,248,4,597,24.0,29.7,59.5,2.9,20,3
41,breakfast,female,49,152,56,2517,94,70,377,3,551,19.3,16.3,78.7,3.2,0,2
42,dinner,male,22,165,60,2811,105,78,422,2,353,8.9,1.8,74.1,1.8,229,2
43,breakfast,male,40,177,74,2811,105,78,422,3,795,25.6,35.9,86.8,4.2,124,3
44,dinner,male,40,177,74,2073,78,58,311,2,412,6.0,17.2,60.2,0.1,0,2
45,breakfast,female,35,161,55,2042,77,57,306,5,1483,52.3,49.4,200.3,4.9,144,2
46,breakfast,female,26,159,51,2852,107,79,428,3,455,13.2,23.0,47.5,1.6,58,3
47,breakfast,male,41,170,62,2852,107,79,428,2,348,8.9,15.7,41.4,2.8,78,2
48,dinner,male,41,170,62,2042,77,57,306,2,767,29.2,22.8,103.8,3.2,0,2
49,dinner,female,26,159,51,1921,72,53,288,2,552,19.5,45.9,11.8,2.3,111,2
50,dinner,female,37,161,48,1655,62,46,248,5,826,39.9,19.5,117.9,5.8,31,2
51,dinner,female,32,157,48,1651,62,46,248,2,855,21.0,30.4,119.2,3.2,215,3
52,lunch,female,49,152,56,1651,62,46,248,5,983,31.2,49.9,103.4,3.7,20,2
53,breakfast,female,49,152,56,1655,62,46,248,5,780,31.3,15.4,128.1,5.8,169,3
54,dinner,female,32,157,48,1655,62,46,248,7,850,29.3,32.7,105.8,3.1,30,2
55,lunch,female,32,157,48,1655,62,46,248,2,602,17.6,19.6,90.2,1.7,0,1
56,breakfast,female,32,157,48,1655,62,46,248,4,653,25.4,22.9,84.2,5.9,201,4
57,dinner,female,32,157,48,1655,62,46,248,2,280,6.7,0.9,58.7,0.6,0,1
58,lunch,female,32,157,48,1655,62,46,248,4,837,52.7,17.5,114.0,3.9,42,2
59,dinner,female,32,157,48,1655,62,46,248,1,290,12.9,8.9,36.3,1.4,12,1
60,lunch,female,32,157,48,2527,95,70,379,3,409,8.5,12.5,63.7,2.0,81,2
61,breakfast,male,34,167,63,1921,72,53,288,1,190,3.1,0.4,42.0,0.9,0,1
62,lunch,female,37,161,48,1655,62,46,248,1,612,43.6,8.1,85.1,4.4,13,2
63,dinner,female,32,157,48,1655,62,46,248,1,290,12.9,8.9,36.3,1.4,12,1
64,lunch,female,32,157,48,1655,62,46,248,5,664,28.4,13.8,105.2,5.9,26,2
65,lunch,female,32,157,48,2811,105,78,422,1,737,28.2,27.6,85.8,1.4,50,2
66,lunch,male,40,177,74,2811,105,78,422,2,926,29.5,32.7,119.4,2.7,0,1
67,breakfast,male,40,177,74,2517,94,70,377,1,732,19.0,19.4,115.2,2.2,135,3
68,lunch,male,22,165,60,2042,77,57,306,1,38,0.5,1.2,6.1,0.0,0,1
69,lunch,female,26,159,51,2073,78,58,311,2,462,15.6,25.5,43.7,1.5,0,2
70,breakfast,female,35,161,55,1921,72,53,288,3,332,8.0,3.9,64.7,1.4,30,2
71,breakfast,female,37,161,48,2042,77,57,306,1,38,0.5,1.2,6.1,0.0,0,1
72,breakfast,female,26,159,51,3105,116,86,466,1,76,1.1,0.2,19.5,0.0,0,1
73,breakfast,male,50,178,91,2517,94,70,377,3,1258,40.6,57.8,132.3,2.1,58,2
74,dinner,male,22,165,60,2811,105,78,422,3,1075,33.1,60.0,91.6,4.0,79,2
